1	3	4	6   4   7   4   8   7   6   8   6   8   6
3	8	7	1   3   7   5   3   5   3   2   7   1   1
1	3	4	6   4   7   4   8   7   6   8   6   8   6
3	8	7	1   3   7   5   3   5   3   2   7   1   1
1	3	4	6   4   7   4   8   7   6   S   6   8   6
3	8	7	1   3   7   5   3   5   3   2   7   1   1
1	3	4	6   4   7   4   8   7   6   8   6   8   6
3	8	7	1   3   7   5   3   5   3   2   7   1   1
6	1	1	1   3   7   5   3   5   3   2   7   1   1
4	G	9	1   3   7   5   3   5   3   2   7   1   1
9	2	1	2   1   6   8   4   7   4   9   5   3   3
4	3	9	8   2   5   3   6   4   2   6   8   4   8
